EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
16,31,0,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,80,1,5,1,2,5,2,4,3
18,34,0,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,80,1,3,2,3,2,2,1,2
19,28,1,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,80,0,6,4,3,4,2,0,3
20,29,0,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,80,1,10,1,3,10,9,8,8
21,32,0,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,80,2,7,5,2,6,2,0,5
22,22,0,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,80,2,1,2,2,1,0,0,0
23,53,0,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,80,0,31,3,3,25,8,3,7
24,38,0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,80,0,6,3,3,3,2,1,2
26,24,0,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,80,1,5,5,2,4,2,1,3
27,36,1,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,80,0,10,4,3,5,3,0,3
28,34,0,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,80,0,13,4,3,12,6,2,11
30,21,0,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,80,0,0,6,3,0,0,0,0
31,34,1,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,80,0,8,2,3,4,2,1,3
32,53,0,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,80,1,26,3,2,14,13,4,8
33,32,1,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,80,0,10,5,3,10,2,6,7
35,42,0,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,80,1,10,2,3,9,7,4,2
36,44,0,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,80,1,24,4,3,22,6,5,17
38,46,0,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,80,0,22,2,2,2,2,2,1
39,33,0,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,80,0,7,3,3,1,1,0,0
40,44,0,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,80,0,9,5,4,4,2,1,3
41,30,0,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,80,0,10,5,3,10,0,1,8
42,39,1,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,80,1,19,6,4,1,0,0,0
45,24,1,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,80,1,6,2,2,2,0,2,0
46,43,0,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,80,2,6,3,2,5,3,1,4
47,50,1,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,80,0,3,2,3,3,2,0,2
49,35,0,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,80,0,2,3,3,2,2,2,2
51,36,0,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,80,1,6,3,4,1,1,0,0
52,33,0,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,80,2,10,3,3,5,3,1,3
53,35,0,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,80,1,1,3,3,1,0,0,0
54,27,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,80,1,1,6,3,1,0,0,0
55,26,1,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,80,0,1,2,2,1,0,0,1
56,27,0,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,80,0,9,0,3,9,8,1,7
57,30,0,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,80,0,12,2,3,12,8,3,7
58,41,1,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,80,0,23,0,3,22,15,15,8
60,34,0,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,80,0,10,2,3,9,5,8,7
61,37,0,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,80,0,8,1,3,1,0,0,0
62,46,0,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,80,0,14,4,3,9,6,0,8
63,35,0,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,80,0,1,2,3,1,0,0,1
64,48,1,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,80,0,23,2,3,1,0,0,0
65,28,1,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,80,0,2,3,2,2,2,2,2
68,44,0,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,80,1,9,2,2,4,3,1,3
70,35,0,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,80,1,10,3,3,4,0,2,3
72,26,0,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,80,1,5,2,2,2,2,0,0
73,33,0,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,80,0,15,1,3,15,14,8,12
74,35,0,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,80,1,9,3,2,9,8,1,8
75,35,0,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,80,1,4,3,3,2,2,2,2
76,31,0,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,80,1,10,3,2,7,7,1,7
77,37,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,80,1,7,2,4,7,5,0,7
78,32,0,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,80,1,9,3,3,9,8,7,8
79,38,0,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,80,0,10,2,3,10,3,9,9
80,50,0,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,80,1,29,2,2,27,3,13,8
81,59,0,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,80,0,28,3,2,21,16,7,9
83,36,0,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,80,3,17,2,3,17,14,12,8
84,55,0,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,80,3,21,2,3,5,0,0,2
85,36,0,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,80,0,6,3,3,6,5,0,3
86,45,0,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,80,1,25,2,3,1,0,0,0
88,35,0,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,80,1,5,2,2,3,2,1,2
90,36,1,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,80,1,2,0,2,1,0,0,0
91,59,0,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,80,0,20,2,2,4,3,1,3
94,29,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,80,1,6,3,3,5,4,0,4
95,31,0,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,80,0,1,4,3,1,1,1,0
96,32,0,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,80,2,10,3,3,10,4,0,9
97,36,0,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,80,0,5,3,3,1,0,0,0
98,31,0,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,80,0,11,2,3,11,7,1,8
100,35,0,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,80,0,16,2,3,15,13,2,8
101,45,0,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,80,0,17,3,4,0,0,0,0
102,37,0,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,80,0,16,3,4,5,2,0,2
103,46,0,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,80,1,16,2,3,4,2,0,2
104,30,0,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,80,2,10,1,2,10,8,3,0
105,35,0,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,80,0,6,3,3,6,4,0,4
106,55,0,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,80,1,24,4,3,1,0,1,0
107,38,0,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,80,3,17,3,3,13,11,1,9
110,34,0,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,80,0,5,2,3,5,2,1,3
112,56,0,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,80,0,37,3,2,6,4,0,2
113,23,0,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,80,1,3,3,3,0,0,0,0
116,51,0,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,80,2,10,4,3,4,2,0,3
117,30,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,80,3,11,3,3,11,10,10,8
118,46,1,Travel_Rarely,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,80,0,9,3,3,9,8,4,7
119,40,0,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,80,1,22,3,2,22,3,11,11
120,51,0,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,80,0,11,2,1,10,7,1,0
121,30,0,Travel_Rarely,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,80,3,11,4,2,11,8,2,7
124,46,0,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,80,1,21,5,2,10,9,9,5
125,32,0,Travel_Rarely,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,80,0,12,0,3,11,8,5,7
126,54,0,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,24001,9,No,12,3,1,80,1,16,5,1,4,3,0,3
128,24,0,Travel_Rarely,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,4999,17519,0,No,21,4,1,80,1,4,2,2,3,2,0,2
129,28,0,Non-Travel,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,4221,8863,1,No,15,3,2,80,0,5,3,4,5,4,0,4
131,58,0,Travel_Rarely,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,13872,24409,0,No,13,3,3,80,0,38,1,2,37,10,1,8
132,44,0,Non-Travel,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,25043,4,No,12,3,3,80,1,17,3,4,3,2,1,2
133,37,1,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,23648,4,Yes,22,4,4,80,0,7,3,3,3,2,0,2
134,32,0,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,15178,1,No,13,3,4,80,0,1,2,3,1,0,0,0
137,20,1,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,19783,1,Yes,18,3,2,80,0,1,5,3,1,0,1,0
138,34,0,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,4809,12482,1,No,14,3,3,80,0,16,3,3,16,13,2,10
139,37,0,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,15850,5,No,14,3,4,80,1,17,2,4,1,0,0,0
140,59,0,Non-Travel,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,Married,18844,21922,9,No,21,4,4,80,1,30,3,3,3,2,2,2
141,50,0,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,Married,18172,9755,3,Yes,19,3,1,80,0,28,1,2,8,3,0,7
142,25,1,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,Single,5744,26959,1,Yes,11,3,4,80,0,6,1,3,6,4,0,3
143,25,0,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,2889,26897,1,No,11,3,3,80,2,2,2,3,2,2,2,1
144,22,0,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,23785,1,No,15,3,3,80,0,1,5,3,0,0,0,0
145,51,0,Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,7484,25796,3,No,20,4,3,80,0,23,1,2,13,12,12,8
147,34,1,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,6074,22887,1,Yes,24,4,4,80,0,9,3,3,9,7,0,6
148,54,0,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,4,Manager,4,Single,17328,13871,2,Yes,12,3,3,80,0,23,3,3,5,3,4,4
150,24,0,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,13257,0,No,12,3,3,80,1,6,2,3,5,3,1,2
151,34,0,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,4505,15000,6,No,15,3,3,80,1,12,3,3,1,0,0,0
152,37,0,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,7428,14506,2,No,12,3,1,80,0,12,3,3,5,3,1,3
153,34,0,Travel_Rarely,Research & Development,5,3,Medical,3,Female,2,3,Manager,1,Single,11631,5615,2,No,12,3,4,80,0,14,6,3,11,10,5,8
154,36,0,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,3,Sales Executive,4,Married,9738,22952,0,No,14,3,3,80,1,10,6,3,9,7,2,8
155,36,0,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,2835,2561,5,No,22,4,1,80,1,7,2,3,1,0,0,0
158,43,0,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,Married,16959,19494,1,Yes,12,3,4,80,2,25,3,4,25,12,4,12
159,30,0,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,2613,22310,1,No,25,4,3,80,3,10,2,2,10,7,0,9
160,33,0,Non-Travel,Sales,22,2,Marketing,3,Male,3,2,Sales Executive,2,Married,6146,15480,0,No,13,3,1,80,1,8,2,4,7,7,0,7
161,56,1,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,4963,4510,9,Yes,18,3,1,80,3,7,2,3,5,4,4,3
162,51,0,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,3,5,Research Director,3,Single,19537,6462,7,No,13,3,3,80,0,23,5,3,20,18,15,15
163,31,1,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,6172,20739,4,Yes,18,3,2,80,0,12,3,2,7,7,7,7
164,26,0,Travel_Rarely,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,Married,2368,23300,1,No,19,3,3,80,0,5,3,2,5,4,4,3
165,58,1,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,10312,3465,1,No,12,3,4,80,1,40,3,2,40,10,15,6
167,19,1,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,26820,1,Yes,19,3,4,80,0,0,2,2,0,0,0,0
169,22,0,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,2523,19299,0,No,14,3,3,80,1,3,2,3,2,1,2,1
170,49,0,Travel_Rarely,Research & Development,20,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,6567,5549,1,No,14,3,3,80,0,16,2,2,15,11,5,11
171,43,0,Travel_Frequently,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,4739,16090,4,No,12,3,4,80,0,18,2,3,3,2,1,2
174,50,0,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,3,Sales Executive,4,Single,9208,6645,4,No,11,3,4,80,0,16,3,3,2,2,2,1
175,31,1,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,1,2,Sales Executive,3,Married,4559,24788,3,Yes,11,3,3,80,1,4,2,3,2,2,2,2
176,41,0,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,8189,21196,3,Yes,13,3,3,80,1,12,2,3,9,7,0,7
177,26,0,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,2942,8916,1,No,23,4,4,80,1,8,3,3,8,7,5,7
178,36,0,Travel_Rarely,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,4941,2819,6,No,20,4,4,80,2,7,0,3,3,2,0,1
179,51,1,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,10650,25150,2,No,15,3,4,80,0,18,2,3,4,2,0,3
182,39,0,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,5902,14590,4,No,14,3,3,80,1,17,1,4,15,11,5,9
183,25,0,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,2,Sales Executive,3,Married,8639,24835,2,No,18,3,4,80,0,6,3,3,2,2,2,2
184,30,0,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,3,2,Human Resources,4,Married,6347,13982,0,Yes,19,3,4,80,0,12,2,1,11,9,4,7
190,32,1,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,1,Laboratory Technician,1,Single,4200,10224,7,No,22,4,1,80,0,10,2,4,5,4,0,4
192,45,0,Travel_Rarely,Research & Development,29,3,Medical,3,Male,3,1,Research Scientist,4,Single,3452,9752,5,No,13,3,2,80,0,9,2,2,6,5,0,3
193,38,0,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,3,2,Research Scientist,3,Single,4317,2302,3,Yes,20,4,2,80,0,19,2,3,3,2,2,2
194,30,0,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,3,1,Research Scientist,3,Single,2632,23910,1,No,14,3,3,80,0,5,4,2,5,4,0,4
195,32,0,Travel_Frequently,Sales,9,2,Medical,4,Male,1,2,Sales Executive,4,Divorced,4668,22812,0,No,17,3,4,80,3,9,2,4,8,7,0,7
197,30,0,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,3,1,Research Scientist,1,Divorced,3204,10415,5,No,14,3,4,80,1,8,3,3,3,2,2,2
198,30,0,Travel_Rarely,Research & Development,2,1,Medical,2,Male,2,1,Laboratory Technician,4,Single,2720,11162,0,No,13,3,4,80,0,6,3,3,5,3,1,2
199,41,0,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,2,4,Manager,1,Divorced,17181,12888,4,No,13,3,2,80,1,21,2,2,7,6,7,7
200,41,0,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,Married,2238,6961,2,No,21,4,4,80,1,7,2,3,5,0,1,4
201,19,0,Travel_Rarely,Research & Development,3,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,1483,16102,1,No,14,3,4,80,0,1,3,3,1,0,0,0
202,40,0,Travel_Frequently,Research & Development,26,3,Medical,2,Female,3,2,Research Scientist,2,Divorced,5605,8504,1,No,11,3,1,80,1,20,2,3,20,7,2,13
204,35,0,Travel_Rarely,Sales,1,5,Marketing,3,Male,3,3,Sales Executive,2,Married,7295,11439,1,No,13,3,1,80,2,10,3,3,10,8,0,6
205,53,0,Travel_Rarely,Sales,6,2,Marketing,2,Male,3,2,Sales Representative,3,Married,2306,16047,2,Yes,20,4,4,80,1,13,3,1,7,7,4,5
206,45,0,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,2348,10901,8,No,18,3,3,80,1,20,2,1,17,9,0,15
207,32,0,Travel_Frequently,Sales,8,3,Marketing,2,Female,3,3,Sales Executive,4,Single,8998,15589,1,No,14,3,4,80,0,9,2,3,9,8,3,7
208,29,0,Non-Travel,Research & Development,1,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,Married,4319,26283,1,No,13,3,1,80,1,10,1,3,10,7,0,9
